"Term","English Equivalent","Phonetic Pronunciation","Part of Speech","Franchise","Medium","Related Words (Cross-Franchise)","Real-World Euphemisms","Category","Severity","Notable Speaker","First Appearance (Episode/Chapter/Issue)","Short Description","Etymology (Narrative)","Semantic Drift Timeline","Usage History (Narrative)","Taboo Trajectory (Narrative)","Regional Notes (In-Universe)","Example Quote"
"Yotz","Hell / Damn (exclamation)","YOTZ","Interjection","Farscape","TV","Hezmana (Farscape); Byss (Star Wars)","Hell; Damnation; Heck","Profanity","Moderate","Rygel XVI","Farscape Season 1 (1999)","A Hynerian exclamation roughly equivalent to 'hell.' Often used in compound 'boll-yotz' (bullshit).","From Hynerian, Rygel's species language. 'Boll-yotz' combines it with another term to create a stronger compound.","Primarily associated with Rygel throughout the series.","Used throughout Farscape, primarily by Rygel XVI.","Moderate exclamation. 'Boll-yotz' is stronger — roughly equivalent to 'bullshit.'","Hynerian. Used by Rygel and presumably other Hynerians.","What the yotz is going on? That's boll-yotz!"
"Crivens!","Christ! / Bloody hell!","KRIV-enz","Interjection","Discworld","Books","Storms (Stormlight); Light (WoT); B'vek (Elder Scrolls)","Crikey; Blimey; Christ; Good grief","Blasphemy; Profanity","Mild","The Nac Mac Feegle (Wee Free Men)","The Wee Free Men by Terry Pratchett (2003)","The signature exclamation of the Nac Mac Feegle, tiny blue warrior fairies who speak in broad Scots dialect. Equivalent to 'crikey' or 'Christ!'","A Feegle-ized version of 'crikey' or 'crivens' (an actual Scots exclamation). Terry Pratchett gave the Nac Mac Feegle a thick Scots dialect, and their profanity reflects this.","Consistent throughout all Tiffany Aching books featuring the Feegles.","Used in the Tiffany Aching subseries of Discworld (2003-2015). Beloved by Discworld fans.","Mild but enthusiastic. The Feegles' approach to language is exuberant and physical — they fight first and swear second.","Specific to the Nac Mac Feegle (Wee Free Men) of the Chalk region of the Disc.","Crivens! There's a hag comin'!"
"Lawn ornament","Slur for dwarfs","LAWN OR-nuh-ment","Noun (Slur)","Discworld","Books","Keebs (Shadowrun); Mutie (X-Men); Half-breed (Harry Potter)","Garden gnome; Shorty; Runt","Slur; Insult","Extreme","Various anti-dwarf characters","Discworld series by Terry Pratchett (various)","A slur used against dwarfs in the Discworld, comparing them to decorative garden gnomes. Deeply offensive in-universe.","References real-world garden gnome statues, which resemble stereotypical dwarfs. The insult reduces a proud warrior culture to kitsch lawn decoration.","Used as a background slur in the Discworld's species-tension narratives.","Used in various Discworld novels exploring dwarf-human-troll relations.","Extremely offensive in-universe. Dwarfs take great pride in their culture and comparing them to ornamental figurines is deeply insulting.","Used in Ankh-Morpork and other multi-species Discworld cities.","Who are you calling a lawn ornament, you overgrown pebble?"
"Sodding","Fucking (British mild)","SOD-ing","Adjective","Dragon Age","Video Games","Smegging (Red Dwarf); Fething (Warhammer 40K); Storming (Stormlight)","Bloody; Blasted; Sodding (already a real mild British curse); Effing","Profanity","Moderate","Oghren, various dwarves","Dragon Age: Origins (2009)","The primary dwarven expletive in Dragon Age. Already a real (mild) British curse, it fits naturally for the dwarven culture.","Borrowed from real British English where 'sod' (from 'sodomite') is a mild expletive. BioWare gave it to the dwarves, making it feel authentic within a fantasy setting that uses British-inflected English.","Consistent throughout the Dragon Age series. Primarily associated with dwarven characters.","Used in Dragon Age: Origins (2009), Dragon Age II (2011), and Dragon Age: Inquisition (2014).","Functions at its real-world British level of mild vulgarity. Effective because it's already a real word, giving it instant authenticity.","Dwarven. Associated with Orzammar and the dwarven caste system.","Sodding darkspawn! They're everywhere!"
"Nug-humper","Derogatory sexual insult","NUG-hum-per","Noun (Insult)","Dragon Age","Video Games","Nerf herder (Star Wars); Son of a mynock (Star Wars)","Animal-fucker; Pervert; Deviant","Sexual; Insult; Obscenity","Extreme","Oghren, various dwarves","Dragon Age: Origins (2009)","A dwarven insult implying someone engages in sexual acts with nugs (small, hairless rabbit-like creatures). The dwarven equivalent of an extreme sexual insult.","Nugs are small, unappetizing creatures kept as pets or food in dwarven society. Accusing someone of intimate relations with them is maximally degrading.","Consistent extreme insult throughout the Dragon Age series.","Used in Dragon Age: Origins and subsequent games. Part of BioWare's commitment to creating culturally specific insults for each fantasy race.","One of the strongest insults available in Dragon Age. Combining bestiality implications with the specific dwarven cultural context.","Dwarven. Used primarily in Orzammar and the Deep Roads.","Listen here, you sodding nug-humper!"
"Nughead","Idiot (dwarf-specific)","NUG-hed","Noun (Insult)","Dragon Age","Video Games","Smeghead (Red Dwarf); Gonk (Cyberpunk); S'wit (Elder Scrolls)","Idiot; Moron; Fool; Blockhead","Insult","Mild","Various dwarven characters","Dragon Age series","A milder dwarven insult comparing someone's intelligence to that of a nug — a small, simple creature.","Compound of 'nug' (the creatures) and 'head.' Like calling someone a 'birdbrain' or 'donkey.'","Consistent mild insult in dwarven vocabulary.","Used across the Dragon Age series.","Mild for dwarven standards. The milder end of nug-based insults.","Dwarven.","Don't be such a nughead, Oghren."
"Starving","Fucking / Damn (adjective)","STAR-ving","Adjective/Interjection","The Stormlight Archive","Books","Storming (Stormlight Archive); Smegging (Red Dwarf); Frelling (Farscape)","Freaking; Flipping; Darn; Blasted","Profanity","Moderate","Lift","Words of Radiance by Brandon Sanderson (2014)","Lift's personal curse word in the Stormlight Archive. Reflects her constant preoccupation with food and hunger.","Lift is perpetually hungry (she converts food to Stormlight). Her personal curse word reflecting her greatest concern is a masterful character detail by Sanderson.","Specific to Lift. Other characters don't use it as profanity. Remains her personal verbal tic throughout her appearances.","Introduced with Lift's character. Used in Edgedancer and Rhythm of War.","Works specifically because of Lift's character. It would feel wrong from any other character, making it one of the most character-specific fictional curses.","Specific to Lift. Other Rosharans use 'storming.'","That was so starving awesome!"
"Kelek's breath","God's blood / Christ almighty","KEL-eks BRETH","Interjection","The Stormlight Archive","Books","Blood and ashes (WoT); Rust and Ruin (Mistborn); By the Throne (Warhammer 40K)","Christ almighty; God's blood; Good Lord; Heavens above","Blasphemy","Moderate","Various characters","The Way of Kings by Brandon Sanderson (2010)","An oath invoking Kelek, one of the ten Heralds (quasi-divine figures) of the Stormlight Archive. Using a Herald's name in vain is blasphemous.","Kelek (also Kelek'Elin) is one of the ten Heralds of the Almighty. Using divine names as profanity follows the same pattern as 'Christ' or 'God's blood' in English.","Consistent blasphemous exclamation. Other Herald names appear in similar oaths: 'Ash's eyes,' 'Damnation,' etc.","Used throughout the Stormlight Archive. Part of a system where each Herald's name can be invoked in different oath constructions.","Moderate blasphemy. In a world where the Heralds are genuine historical figures, invoking them casually is disrespectful but extremely common.","Used across Vorin-practicing nations on Roshar.","Kelek's breath! What happened here?"
"Vack","Fuck (existential dread)","VAK","Noun/Verb/Interjection","Only Superhuman","Books","Frak (BSG); Frell (Farscape); Slot (Shadowrun)","Fuck; Damn; The worst thing imaginable","Obscenity; Profanity","Extreme","Strider characters","Only Superhuman by Christopher L. Bennett (2012)","The primary expletive among Striders (asteroid belt dwellers). Short for 'vacuum' — the ever-present lethal threat of space.","Short for 'vacuum,' which is an existential threat to space dwellers. In a society with fewer sexual taboos, sex-based profanity lost its power, and the thing people actually fear (explosive decompression) replaced it.","Consistent within the novel. Represents a deliberate evolution in what cultures consider taboo.","Used in Only Superhuman (2012). Notable for its thoughtful approach to how profanity evolves based on cultural fears.","A fascinating example of how taboo words might shift based on what a culture actually fears. Sexual terms became mundane; mortal danger became profane.","Asteroid Belt / Strider culture.","What the vack just happened?"
"Scrum","Fuck","SKRUM","Verb/Noun","Foundryside (Divine Cities adjacent)","Books","Frak (BSG); Kriff (Star Wars); Slot (Shadowrun)","Fuck; Screw; Shaft","Obscenity; Profanity","Extreme","Sancia Grado, various","Foundryside by Robert Jackson Bennett (2018)","The primary expletive in the city of Tevanne. Functions as the world's F-word.","Part of the Tevanne vocabulary in a world dominated by scriving (magical inscription). The word's sound evokes both 'scrum' and 'screw.'","Consistent throughout the Founders trilogy.","Used in the Founders trilogy (2018-2021). Helps establish Tevanne as a distinct culture.","Functions as a strong expletive in a setting that otherwise feels Mediterranean-influenced. Its unfamiliarity constantly reminds the reader they're in another world.","Tevanne and surrounding city-states.","Scrum this. We're getting out of here."
"Bitca","Bitch (playful misspelling)","BIT-kah","Noun (Insult)","Buffy the Vampire Slayer","TV","Bench (Good Place); Slitch (various sci-fi)","Bitch; Mean girl; Witch","Insult","Mild","Xander Harris (Nicholas Brendon)","S1 (1997)","Created when Willow spelled out 'B-I-T-C-H' and Xander misheard/mispronounced it as 'bitca.' Became a running joke.","A meta-linguistic joke. Willow tries to be discreet by spelling the word. Xander's mispronunciation turns it into a new word. Classic Buffy humor about language itself.","A brief comedic moment that fans latched onto. Never became the characters' standard vocabulary.","Used briefly in Buffy's early seasons. Beloved by fans as a quintessential Buffy-speak moment.","Not truly taboo — it's a comedic mispronunciation. Its charm is in the character dynamic, not the word's severity.","Sunnydale, California. Scooby Gang in-joke.","Xander: Bitca? Willow: I was spelling it out..."
"Shrok","Shit / Crap","SHROK","Noun/Interjection","Babylon 5","TV","Dren (Farscape); Felgercarb (BSG); Druk (Star Wars)","Shit; Crap; Dung; Rubbish","Scatological; Profanity","Moderate","G'Kar, various Narn characters","Babylon 5 (1994-1998)","A Narn word roughly equivalent to 'shit' or 'crap.' Used by Narn characters on Babylon 5.","From the Narn language. Part of Babylon 5's effort to give each alien race distinctive vocabulary.","Consistent Narn expletive throughout the series.","Used in Babylon 5's five-season run (1994-1998).","A moderate scatological term. Part of B5's more restrained approach to fictional profanity compared to contemporaries.","Narn. Used by members of the Narn Regime.","Shrok! They've found us!"
